"country","year","fertility"
"Albania",1960,6.19
"Algeria",1960,7.65
"Angola",1960,7.32
"Antigua and Barbuda",1960,4.43
"Argentina",1960,3.11
"Armenia",1960,4.55
"Aruba",1960,4.82
"Australia",1960,3.45
"Austria",1960,2.7
"Azerbaijan",1960,5.57
"Bahamas",1960,4.5
"Bahrain",1960,7.09
"Bangladesh",1960,6.73
"Barbados",1960,4.33
"Belarus",1960,2.74
"Belgium",1960,2.6
"Belize",1960,6.5
"Benin",1960,6.28
"Bhutan",1960,6.67
"Bolivia",1960,6.7
"Bosnia and Herzegovina",1960,4.05
"Botswana",1960,6.62
"Brazil",1960,6.21
"Brunei",1960,6.49
"Bulgaria",1960,2.25
"Burkina Faso",1960,6.29
"Burundi",1960,6.95
"Cambodia",1960,6.97
"Cameroon",1960,5.65
"Canada",1960,3.91
"Cape Verde",1960,6.89
"Central African Republic",1960,5.84
"Chad",1960,6.25
"Chile",1960,5.58
"China",1960,3.99
"Colombia",1960,6.81
"Comoros",1960,6.79
"Congo, Dem. Rep.",1960,6
"Congo, Rep.",1960,5.88
"Costa Rica",1960,7.31
"Cote d'Ivoire",1960,7.35
"Croatia",1960,2.33
"Cuba",1960,4.18
"Cyprus",1960,3.5
"Czech Republic",1960,2.3
"Denmark",1960,2.54
"Djibouti",1960,6.46
"Dominican Republic",1960,7.56
"Ecuador",1960,6.69
"Egypt",1960,6.63
"El Salvador",1960,6.73
"Equatorial Guinea",1960,5.51
"Eritrea",1960,6.9
"Estonia",1960,1.95
"Ethiopia",1960,6.88
"Fiji",1960,6.46
"Finland",1960,2.71
"France",1960,2.77
"French Polynesia",1960,5.66
"Gabon",1960,4.38
"Gambia",1960,5.57
"Georgia",1960,2.96
"Germany",1960,2.41
"Ghana",1960,6.75
"Greece",1960,2.22
"Greenland",1960,7.25
"Grenada",1960,6.74
"Guatemala",1960,6.53
"Guinea",1960,6.1
"Guinea-Bissau",1960,5.83
"Guyana",1960,5.67
"Haiti",1960,6.32
"Honduras",1960,7.46
"Hong Kong, China",1960,5.16
"Hungary",1960,2.05
"Iceland",1960,4.13
"India",1960,5.87
"Indonesia",1960,5.67
"Iran",1960,6.93
"Iraq",1960,6.25
"Ireland",1960,3.86
"Israel",1960,3.84
"Italy",1960,2.37
"Jamaica",1960,5.42
"Japan",1960,2
"Jordan",1960,7.69
"Kazakhstan",1960,4.56
"Kenya",1960,7.95
"Kiribati",1960,6.95
"South Korea",1960,6.16
"Kuwait",1960,7.25
"Kyrgyz Republic",1960,5.17
"Lao",1960,5.96
"Latvia",1960,1.9
"Lebanon",1960,5.74
"Lesotho",1960,5.84
"Liberia",1960,6.41
"Libya",1960,7.54
"Lithuania",1960,2.55
"Luxembourg",1960,2.35
"Macao, China",1960,4.95
"Macedonia, FYR",1960,3.72
"Madagascar",1960,7.3
"Malawi",1960,6.91
"Malaysia",1960,6.19
"Maldives",1960,7.02
"Mali",1960,6.7
"Malta",1960,3.53
"Mauritania",1960,6.78
"Mauritius",1960,6.17
"Mexico",1960,6.78
"Micronesia, Fed. Sts.",1960,6.93
"Moldova",1960,3.33
"Mongolia",1960,6.95
"Montenegro",1960,3.52
"Morocco",1960,7.07
"Mozambique",1960,6.6
"Namibia",1960,6.15
"Nepal",1960,5.99
"Netherlands",1960,3.12
"New Caledonia",1960,5.22
"New Zealand",1960,3.54
"Nicaragua",1960,7.34
"Niger",1960,7.05
"Nigeria",1960,6.35
"Norway",1960,2.88
"Oman",1960,7.25
"Pakistan",1960,6.6
"Panama",1960,5.87
"Papua New Guinea",1960,6.28
"Paraguay",1960,6.5
"Peru",1960,6.88
"Philippines",1960,7.15
"Poland",1960,2.97
"Portugal",1960,3.16
"Puerto Rico",1960,4.66
"Qatar",1960,6.97
"Romania",1960,2.32
"Russia",1960,2.56
"Rwanda",1960,8.19
"St. Lucia",1960,6.97
"St. Vincent and the Grenadines",1960,7.22
"Samoa",1960,7.65
"Saudi Arabia",1960,7.22
"Senegal",1960,6.95
"Serbia",1960,2.63
"Seychelles",1960,5.27
"Sierra Leone",1960,6.03
"Singapore",1960,5.82
"Slovak Republic",1960,3.09
"Slovenia",1960,2.32
"Solomon Islands",1960,6.39
"South Africa",1960,6.17
"Spain",1960,2.77
"Sri Lanka",1960,5.54
"Sudan",1960,6.69
"Suriname",1960,6.61
"Swaziland",1960,6.72
"Sweden",1960,2.2
"Switzerland",1960,2.52
"Syria",1960,7.47
"Tajikistan",1960,6.24
"Tanzania",1960,6.81
"Thailand",1960,6.15
"Timor-Leste",1960,6.37
"Togo",1960,6.52
"Tonga",1960,7.36
"Trinidad and Tobago",1960,5.26
"Tunisia",1960,7.04
"Turkey",1960,6.3
"Turkmenistan",1960,6.42
"Uganda",1960,7
"Ukraine",1960,2.42
"United Arab Emirates",1960,6.93
"United Kingdom",1960,2.69
"United States",1960,3.67
"Uruguay",1960,2.88
"Uzbekistan",1960,6.71
"Vanuatu",1960,7.2
"Venezuela",1960,6.62
"West Bank and Gaza",1960,7.69
"Vietnam",1960,6.35
"Yemen",1960,7.29
"Zambia",1960,7.02
"Zimbabwe",1960,7.16
"Albania",1961,6.08
"Algeria",1961,7.65
"Angola",1961,7.35
"Antigua and Barbuda",1961,4.39
"Argentina",1961,3.1
"Armenia",1961,4.51
"Aruba",1961,4.66
"Australia",1961,3.55
"Austria",1961,2.79
"Azerbaijan",1961,5.6
"Bahamas",1961,4.5
"Bahrain",1961,7.13
"Bangladesh",1961,6.76
"Barbados",1961,4.31
"Belarus",1961,2.73
"Belgium",1961,2.63
