"country","year","infant_mortality"
"Albania",1960,115.4
"Algeria",1960,148.2
"Angola",1960,208
"Antigua and Barbuda",1960,NA
"Argentina",1960,59.87
"Armenia",1960,NA
"Aruba",1960,NA
"Australia",1960,20.3
"Austria",1960,37.3
"Azerbaijan",1960,NA
"Bahamas",1960,51
"Bahrain",1960,134.5
"Bangladesh",1960,176.3
"Barbados",1960,69.5
"Belarus",1960,NA
"Belgium",1960,29.5
"Belize",1960,NA
"Benin",1960,186.9
"Bhutan",1960,175
"Bolivia",1960,173.4
"Bosnia and Herzegovina",1960,105
"Botswana",1960,115.5
"Brazil",1960,129.4
"Brunei",1960,63
"Bulgaria",1960,49
"Burkina Faso",1960,161.3
"Burundi",1960,145.1
"Cambodia",1960,NA
"Cameroon",1960,166.9
"Canada",1960,27.8
"Cape Verde",1960,NA
"Central African Republic",1960,165.5
"Chad",1960,NA
"Chile",1960,127.6
"China",1960,190
"Colombia",1960,89.3
"Comoros",1960,200
"Congo, Dem. Rep.",1960,174
"Congo, Rep.",1960,110.6
"Costa Rica",1960,86.54
"Cote d'Ivoire",1960,208.4
"Croatia",1960,70
"Cuba",1960,37
"Cyprus",1960,30
"Czech Republic",1960,22
"Denmark",1960,21.3
"Djibouti",1960,NA
"Dominican Republic",1960,102.1
"Ecuador",1960,121.4
"Egypt",1960,209.6
"El Salvador",1960,126.2
"Equatorial Guinea",1960,NA
"Eritrea",1960,NA
"Estonia",1960,40
"Ethiopia",1960,162
"Fiji",1960,54
"Finland",1960,21.9
"France",1960,23.7
"French Polynesia",1960,NA
"Gabon",1960,NA
"Gambia",1960,148.4
"Georgia",1960,NA
"Germany",1960,34
"Ghana",1960,125.1
"Greece",1960,48.3
"Greenland",1960,NA
"Grenada",1960,NA
"Guatemala",1960,146
"Guinea",1960,NA
"Guinea-Bissau",1960,NA
"Guyana",1960,67.7
"Haiti",1960,194.8
"Honduras",1960,140.9
"Hong Kong, China",1960,NA
"Hungary",1960,53.4
"Iceland",1960,17.5
"India",1960,165.1
"Indonesia",1960,148.4
"Iran",1960,191.61
"Iraq",1960,131.7
"Ireland",1960,30.4
"Israel",1960,32
"Italy",1960,44.2
"Jamaica",1960,62
"Japan",1960,30.4
"Jordan",1960,107.5
"Kazakhstan",1960,NA
"Kenya",1960,118.6
"Kiribati",1960,NA
"South Korea",1960,80.2
"Kuwait",1960,101.6
"Kyrgyz Republic",1960,NA
"Lao",1960,155
"Latvia",1960,35
"Lebanon",1960,57.6
"Lesotho",1960,143.3
"Liberia",1960,212
"Libya",1960,164.5
"Lithuania",1960,52
"Luxembourg",1960,33
"Macao, China",1960,NA
"Macedonia, FYR",1960,120
"Madagascar",1960,112
"Malawi",1960,218.2
"Malaysia",1960,67.4
"Maldives",1960,NA
"Mali",1960,237.4
"Malta",1960,36.4
"Mauritania",1960,135
"Mauritius",1960,67.8
"Mexico",1960,100.6
"Micronesia, Fed. Sts.",1960,NA
"Moldova",1960,NA
"Mongolia",1960,NA
"Montenegro",1960,NA
"Morocco",1960,145
"Mozambique",1960,183
"Namibia",1960,102
"Nepal",1960,219.6
"Netherlands",1960,16.4
"New Caledonia",1960,NA
"New Zealand",1960,22.6
"Nicaragua",1960,134
"Niger",1960,NA
"Nigeria",1960,165
"Norway",1960,18.4
"Oman",1960,164
"Pakistan",1960,192
"Panama",1960,66.9
"Papua New Guinea",1960,134.6
"Paraguay",1960,62.6
"Peru",1960,135.9
"Philippines",1960,67.9
"Poland",1960,57.8
"Portugal",1960,84.6
"Puerto Rico",1960,NA
"Qatar",1960,94
"Romania",1960,69
"Russia",1960,NA
"Rwanda",1960,127.9
"St. Lucia",1960,NA
"St. Vincent and the Grenadines",1960,NA
"Samoa",1960,92
"Saudi Arabia",1960,150
"Senegal",1960,126.3
"Serbia",1960,NA
"Seychelles",1960,73.6
"Sierra Leone",1960,223.6
"Singapore",1960,35.5
"Slovak Republic",1960,33
"Slovenia",1960,37
"Solomon Islands",1960,131.8
"South Africa",1960,NA
"Spain",1960,47.7
"Sri Lanka",1960,72.7
"Sudan",1960,107.4
"Suriname",1960,NA
"Swaziland",1960,141.7
"Sweden",1960,16.3
"Switzerland",1960,21.6
"Syria",1960,121.8
"Tajikistan",1960,NA
"Tanzania",1960,144.3
"Thailand",1960,102.2
"Timor-Leste",1960,NA
"Togo",1960,162.4
"Tonga",1960,NA
"Trinidad and Tobago",1960,56.6
"Tunisia",1960,173.4
"Turkey",1960,166
"Turkmenistan",1960,NA
"Uganda",1960,132.3
"Ukraine",1960,NA
"United Arab Emirates",1960,137.3
"United Kingdom",1960,22.9
"United States",1960,25.9
"Uruguay",1960,57.7
"Uzbekistan",1960,NA
"Vanuatu",1960,106.7
"Venezuela",1960,59.9
"West Bank and Gaza",1960,NA
"Vietnam",1960,75.6
"Yemen",1960,225
"Zambia",1960,123.2
"Zimbabwe",1960,92.6
"Albania",1961,110.8
"Algeria",1961,148.1
"Angola",1961,NA
"Antigua and Barbuda",1961,NA
"Argentina",1961,59.73
"Armenia",1961,NA
"Aruba",1961,NA
"Australia",1961,20
"Austria",1961,35
"Azerbaijan",1961,NA
"Bahamas",1961,NA
"Bahrain",1961,123.8
"Bangladesh",1961,171.7
"Barbados",1961,65
"Belarus",1961,NA
"Belgium",1961,28.1
"Belize",1961,NA
"Benin",1961,183.9
"Bhutan",1961,NA
"Bolivia",1961,170.5
"Bosnia and Herzegovina",1961,NA
"Botswana",1961,112.2
"Brazil",1961,126.1
"Brunei",1961,NA
"Bulgaria",1961,NA
"Burkina Faso",1961,159.4
"Burundi",1961,144.8
"Cambodia",1961,NA
"Cameroon",1961,163.3
"Canada",1961,27
"Cape Verde",1961,NA
"Central African Republic",1961,162.9
"Chad",1961,NA
"Chile",1961,121.1
"China",1961,161
"Colombia",1961,87.6
"Comoros",1961,NA
"Congo, Dem. Rep.",1961,NA
"Congo, Rep.",1961,108.4
"Costa Rica",1961,83.56
"Cote d'Ivoire",1961,203
"Croatia",1961,NA
"Cuba",1961,NA
"Cyprus",1961,NA
"Czech Republic",1961,NA
"Denmark",1961,20.8
"Djibouti",1961,NA
"Dominican Republic",1961,101
"Ecuador",1961,118.2
"Egypt",1961,202.7
"El Salvador",1961,123.9
"Equatorial Guinea",1961,NA
"Eritrea",1961,NA
"Estonia",1961,NA
"Ethiopia",1961,NA
"Fiji",1961,52.1
"Finland",1961,20.6
"France",1961,22.4
"French Polynesia",1961,NA
"Gabon",1961,NA
"Gambia",1961,146.1
"Georgia",1961,NA
"Germany",1961,NA
"Ghana",1961,123.8
"Greece",1961,47.3
"Greenland",1961,NA
"Grenada",1961,NA
"Guatemala",1961,143.3
"Guinea",1961,210.5
"Guinea-Bissau",1961,NA
"Guyana",1961,65.1
"Haiti",1961,191.5
"Honduras",1961,136.6
"Hong Kong, China",1961,NA
"Hungary",1961,51
"Iceland",1961,17.2
"India",1961,162.5
"Indonesia",1961,144.8
"Iran",1961,183.85
"Iraq",1961,124.7
"Ireland",1961,29.2
"Israel",1961,NA
"Italy",1961,42.7
"Jamaica",1961,59.8
"Japan",1961,27.9
"Jordan",1961,101.9
"Kazakhstan",1961,NA
"Kenya",1961,114
"Kiribati",1961,NA
"South Korea",1961,76.1
"Kuwait",1961,95.2
"Kyrgyz Republic",1961,NA
"Lao",1961,NA
"Latvia",1961,NA
"Lebanon",1961,56.1
"Lesotho",1961,142.3
"Liberia",1961,212.1
"Libya",1961,156.1
"Lithuania",1961,NA
"Luxembourg",1961,NA
"Macao, China",1961,NA
"Macedonia, FYR",1961,NA
"Madagascar",1961,NA
"Malawi",1961,216.4
"Malaysia",1961,64.2
"Maldives",1961,NA
"Mali",1961,231.5
"Malta",1961,34.9
"Mauritania",1961,131.9
"Mauritius",1961,66.3
"Mexico",1961,97.7
"Micronesia, Fed. Sts.",1961,NA
"Moldova",1961,NA
"Mongolia",1961,NA
"Montenegro",1961,NA
"Morocco",1961,142.7
"Mozambique",1961,NA
"Namibia",1961,NA
"Nepal",1961,216.7
"Netherlands",1961,16.1
"New Caledonia",1961,NA
"New Zealand",1961,21.7
"Nicaragua",1961,132.5
"Niger",1961,NA
"Nigeria",1961,NA
"Norway",1961,18
"Oman",1961,237.2
"Pakistan",1961,184.8
"Panama",1961,65.3
"Papua New Guinea",1961,130.7
"Paraguay",1961,62
"Peru",1961,132.6
"Philippines",1961,65.9
"Poland",1961,53
"Portugal",1961,82.3
"Puerto Rico",1961,NA
"Qatar",1961,NA
"Romania",1961,NA
"Russia",1961,NA
"Rwanda",1961,125.3
"St. Lucia",1961,NA
