"country","year","life_expectancy"
"Albania",1960,62.87
"Algeria",1960,47.5
"Angola",1960,35.98
"Antigua and Barbuda",1960,62.97
"Argentina",1960,65.39
"Armenia",1960,66.86
"Aruba",1960,65.66
"Australia",1960,70.87
"Austria",1960,68.75
"Azerbaijan",1960,61.33
"Bahamas",1960,62
"Bahrain",1960,51.64
"Bangladesh",1960,46.2
"Barbados",1960,61.8
"Belarus",1960,71.59
"Belgium",1960,69.59
"Belize",1960,60.08
"Benin",1960,38.29
"Bhutan",1960,35.94
"Bolivia",1960,43.77
"Bosnia and Herzegovina",1960,62.56
"Botswana",1960,50.34
"Brazil",1960,55.27
"Brunei",1960,62.52
"Bulgaria",1960,69.22
"Burkina Faso",1960,35.21
"Burundi",1960,40.58
"Cambodia",1960,42.29
"Cameroon",1960,43.46
"Canada",1960,71
"Cape Verde",1960,50.12
"Central African Republic",1960,37.43
"Chad",1960,40.95
"Chile",1960,56.85
"China",1960,30.53
"Colombia",1960,58.03
"Comoros",1960,44.04
"Congo, Dem. Rep.",1960,43.9
"Congo, Rep.",1960,48.25
"Costa Rica",1960,61.97
"Cote d'Ivoire",1960,38
"Croatia",1960,64.85
"Cuba",1960,63.85
"Cyprus",1960,69.72
"Czech Republic",1960,70.58
"Denmark",1960,72.28
"Djibouti",1960,45.77
"Dominican Republic",1960,53.37
"Ecuador",1960,54.09
"Egypt",1960,48.31
"El Salvador",1960,52.02
"Equatorial Guinea",1960,37.69
"Eritrea",1960,39.03
"Estonia",1960,69.42
"Ethiopia",1960,37.72
"Fiji",1960,55.7
"Finland",1960,69.03
"France",1960,70.49
"French Polynesia",1960,56.28
"Gabon",1960,38.83
"Gambia",1960,35.7
"Georgia",1960,63.5
"Germany",1960,69.26
"Ghana",1960,46.34
"Greece",1960,68.41
"Greenland",1960,61.49
"Grenada",1960,60.59
"Guatemala",1960,46.51
"Guinea",1960,35.71
"Guinea-Bissau",1960,43.14
"Guyana",1960,59.08
"Haiti",1960,42.1
"Honduras",1960,47.71
"Hong Kong, China",1960,67.45
"Hungary",1960,68.13
"Iceland",1960,74.22
"India",1960,41.26
"Indonesia",1960,45.01
"Iran",1960,46
"Iraq",1960,46.96
"Ireland",1960,70.76
"Israel",1960,68.55
"Italy",1960,69.19
"Jamaica",1960,65.91
"Japan",1960,67.78
"Jordan",1960,53.3
"Kazakhstan",1960,58.91
"Kenya",1960,47.42
"Kiribati",1960,45.84
"South Korea",1960,53.02
"Kuwait",1960,62.15
"Kyrgyz Republic",1960,56.09
"Lao",1960,42.13
"Latvia",1960,70.37
"Lebanon",1960,62.9
"Lesotho",1960,47.02
"Liberia",1960,35.24
"Libya",1960,44.59
"Lithuania",1960,70.33
"Luxembourg",1960,68.99
"Macao, China",1960,64.93
"Macedonia, FYR",1960,60.85
"Madagascar",1960,41.96
"Malawi",1960,38.51
"Malaysia",1960,59.89
"Maldives",1960,38.07
"Mali",1960,29.61
"Malta",1960,68.32
"Mauritania",1960,43.91
"Mauritius",1960,58.74
"Mexico",1960,57.34
"Micronesia, Fed. Sts.",1960,56.82
"Moldova",1960,62.22
"Mongolia",1960,49.2
"Montenegro",1960,63.86
"Morocco",1960,49.64
"Mozambique",1960,38.17
"Namibia",1960,47.07
"Nepal",1960,39.8
"Netherlands",1960,73.35
"New Caledonia",1960,56.38
"New Zealand",1960,71.28
"Nicaragua",1960,50.69
"Niger",1960,36.82
"Nigeria",1960,40.39
"Norway",1960,73.66
"Oman",1960,44.64
"Pakistan",1960,46.79
"Panama",1960,61.62
"Papua New Guinea",1960,38.6
"Paraguay",1960,66.35
"Peru",1960,48.95
"Philippines",1960,58.82
"Poland",1960,67.92
"Portugal",1960,64.23
"Puerto Rico",1960,68.58
"Qatar",1960,60.82
"Romania",1960,65.92
"Russia",1960,68.61
"Rwanda",1960,43.07
"St. Lucia",1960,56.97
"St. Vincent and the Grenadines",1960,57.85
"Samoa",1960,51.45
"Saudi Arabia",1960,47.62
"Senegal",1960,38.46
"Serbia",1960,63.33
"Seychelles",1960,60.42
"Sierra Leone",1960,36.07
"Singapore",1960,65.02
"Slovak Republic",1960,70.42
"Slovenia",1960,68.62
"Solomon Islands",1960,50.55
"South Africa",1960,49.01
"Spain",1960,69.23
"Sri Lanka",1960,59.76
"Sudan",1960,49.54
"Suriname",1960,60.58
"Swaziland",1960,44.78
"Sweden",1960,73.01
"Switzerland",1960,71.46
"Syria",1960,52.87
"Tajikistan",1960,57.1
"Tanzania",1960,45.57
"Thailand",1960,55.46
"Timor-Leste",1960,37.74
"Togo",1960,41.06
"Tonga",1960,61.2
"Trinidad and Tobago",1960,63.07
"Tunisia",1960,43.2
"Turkey",1960,46.91
"Turkmenistan",1960,54.91
"Uganda",1960,45.27
"Ukraine",1960,70.88
"United Arab Emirates",1960,51.85
"United Kingdom",1960,71.02
"United States",1960,69.91
"Uruguay",1960,67.95
"Uzbekistan",1960,59.35
"Vanuatu",1960,45.97
"Venezuela",1960,60.08
"West Bank and Gaza",1960,50.82
"Vietnam",1960,58.52
"Yemen",1960,32.64
"Zambia",1960,48.34
"Zimbabwe",1960,53.11
"Albania",1961,63.92
"Algeria",1961,48.02
"Angola",1961,36.53
"Antigua and Barbuda",1961,63.46
"Argentina",1961,65.53
"Armenia",1961,67.33
"Aruba",1961,66.07
"Australia",1961,71.14
"Austria",1961,69.72
"Azerbaijan",1961,61.76
"Bahamas",1961,62.29
"Bahrain",1961,52.99
"Bangladesh",1961,46.73
"Barbados",1961,62.31
"Belarus",1961,72.3
"Belgium",1961,70.46
"Belize",1961,60.64
"Benin",1961,38.8
"Bhutan",1961,36.49
"Bolivia",1961,44.14
"Bosnia and Herzegovina",1961,63.34
"Botswana",1961,50.7
"Brazil",1961,55.78
"Brunei",1961,63.11
"Bulgaria",1961,70.26
"Burkina Faso",1961,35.72
"Burundi",1961,40.85
"Cambodia",1961,42.47
"Cameroon",1961,44
"Canada",1961,71.22
"Cape Verde",1961,50.27
"Central African Republic",1961,37.89
"Chad",1961,41.35
"Chile",1961,57.23
"China",1961,32.95
"Colombia",1961,58.63
"Comoros",1961,44.47
"Congo, Dem. Rep.",1961,44.25
"Congo, Rep.",1961,48.88
"Costa Rica",1961,62.56
"Cote d'Ivoire",1961,38.74
"Croatia",1961,65.26
"Cuba",1961,64.47
"Cyprus",1961,70.06
"Czech Republic",1961,70.77
"Denmark",1961,72.55
"Djibouti",1961,46.28
"Dominican Republic",1961,54.17
"Ecuador",1961,54.77
"Egypt",1961,48.89
"El Salvador",1961,52.77
"Equatorial Guinea",1961,38.04
"Eritrea",1961,39.35
"Estonia",1961,69.74
"Ethiopia",1961,38.35
"Fiji",1961,56.12
"Finland",1961,69.07
"France",1961,71.07
"French Polynesia",1961,56.71
"Gabon",1961,39.15
"Gambia",1961,36.16
"Georgia",1961,63.9
"Germany",1961,69.85
"Ghana",1961,46.8
"Greece",1961,68.8
"Greenland",1961,61.85
"Grenada",1961,61.05
"Guatemala",1961,47.12
"Guinea",1961,35.95
"Guinea-Bissau",1961,43.39
"Guyana",1961,59.24
"Haiti",1961,42.68
"Honduras",1961,48.47
"Hong Kong, China",1961,68.01
"Hungary",1961,69.06
"Iceland",1961,73.6
"India",1961,41.99
"Indonesia",1961,45.83
"Iran",1961,46.61
"Iraq",1961,48.11
"Ireland",1961,70.24
"Israel",1961,68.85
"Italy",1961,69.82
"Jamaica",1961,66.57
"Japan",1961,68.43
"Jordan",1961,54.12
"Kazakhstan",1961,59.38
"Kenya",1961,48.13
"Kiribati",1961,46.24
"South Korea",1961,53.75
"Kuwait",1961,62.98
"Kyrgyz Republic",1961,56.54
"Lao",1961,42.38
"Latvia",1961,70.6
"Lebanon",1961,63.19
"Lesotho",1961,47.54
"Liberia",1961,35.54
"Libya",1961,46.28
"Lithuania",1961,70.52
"Luxembourg",1961,69.49
"Macao, China",1961,65.42
"Macedonia, FYR",1961,61.49
"Madagascar",1961,42.54
"Malawi",1961,38.76
"Malaysia",1961,60.48
"Maldives",1961,38.82
"Mali",1961,29.83
"Malta",1961,68.67
"Mauritania",1961,44.62
"Mauritius",1961,59.75
"Mexico",1961,57.95
"Micronesia, Fed. Sts.",1961,57.18
