"country","year","population"
"Albania",1960,1636054
"Algeria",1960,11124892
"Angola",1960,5270844
"Antigua and Barbuda",1960,54681
"Argentina",1960,20619075
"Armenia",1960,1867396
"Aruba",1960,54208
"Australia",1960,10292328
"Austria",1960,7065525
"Azerbaijan",1960,3897889
"Bahamas",1960,109526
"Bahrain",1960,162501
"Bangladesh",1960,48200702
"Barbados",1960,230934
"Belarus",1960,8190027
"Belgium",1960,9140563
"Belize",1960,92068
"Benin",1960,2431620
"Bhutan",1960,224108
"Bolivia",1960,3693451
"Bosnia and Herzegovina",1960,3214520
"Botswana",1960,524029
"Brazil",1960,72493585
"Brunei",1960,81825
"Bulgaria",1960,7866472
"Burkina Faso",1960,4829291
"Burundi",1960,2786740
"Cambodia",1960,5722370
"Cameroon",1960,5361367
"Canada",1960,17909232
"Cape Verde",1960,202316
"Central African Republic",1960,1503501
"Chad",1960,3002596
"Chile",1960,7695692
"China",1960,644450173
"Colombia",1960,16480384
"Comoros",1960,188732
"Congo, Dem. Rep.",1960,15248246
"Congo, Rep.",1960,1013581
"Costa Rica",1960,1333042
"Cote d'Ivoire",1960,3474724
"Croatia",1960,4192634
"Cuba",1960,7141129
"Cyprus",1960,572929
"Czech Republic",1960,9578587
"Denmark",1960,4580708
"Djibouti",1960,83636
"Dominican Republic",1960,3294039
"Ecuador",1960,4545548
"Egypt",1960,27072397
"El Salvador",1960,2762897
"Equatorial Guinea",1960,252115
"Eritrea",1960,1407631
"Estonia",1960,1216831
"Ethiopia",1960,22151218
"Fiji",1960,393383
"Finland",1960,4430228
"France",1960,45865699
"French Polynesia",1960,78083
"Gabon",1960,499189
"Gambia",1960,367929
"Georgia",1960,4159769
"Germany",1960,73179665
"Ghana",1960,6652285
"Greece",1960,8311386
"Greenland",1960,31238
"Grenada",1960,89861
"Guatemala",1960,4127555
"Guinea",1960,3577413
"Guinea-Bissau",1960,616407
"Guyana",1960,564222
"Haiti",1960,3866160
"Honduras",1960,2002333
"Hong Kong, China",1960,3075752
"Hungary",1960,10001270
"Iceland",1960,175520
"India",1960,449661874
"Indonesia",1960,87792512
"Iran",1960,21906905
"Iraq",1960,7289759
"Ireland",1960,2819059
"Israel",1960,2089891
"Italy",1960,49714962
"Jamaica",1960,1630914
"Japan",1960,92500754
"Jordan",1960,888632
"Kazakhstan",1960,9995997
"Kenya",1960,8105440
"Kiribati",1960,41234
"South Korea",1960,25074028
"Kuwait",1960,261962
"Kyrgyz Republic",1960,2172500
"Lao",1960,2119944
"Latvia",1960,2132368
"Lebanon",1960,1804927
"Lesotho",1960,851412
"Liberia",1960,1120314
"Libya",1960,1434576
"Lithuania",1960,2770737
"Luxembourg",1960,314586
"Macao, China",1960,171456
"Macedonia, FYR",1960,1488664
"Madagascar",1960,5099371
"Malawi",1960,3618604
"Malaysia",1960,8160975
"Maldives",1960,89875
"Mali",1960,5263730
"Malta",1960,312788
"Mauritania",1960,858170
"Mauritius",1960,660023
"Mexico",1960,38174114
"Micronesia, Fed. Sts.",1960,44539
"Moldova",1960,3003557
"Mongolia",1960,955514
"Montenegro",1960,487416
"Morocco",1960,12328534
"Mozambique",1960,7493278
"Namibia",1960,602545
"Nepal",1960,10056945
"Netherlands",1960,11418652
"New Caledonia",1960,78058
"New Zealand",1960,2371999
"Nicaragua",1960,1774696
"Niger",1960,3395212
"Nigeria",1960,45211614
"Norway",1960,3582016
"Oman",1960,551737
"Pakistan",1960,44911810
"Panama",1960,1132924
