"ID","datetime","content","label"
"585978391360221184","Thu Apr 09 01:31:50 +0000 2015","Breast cancer risk test devised ","bbchealth"
"585947808772960256","Wed Apr 08 23:30:18 +0000 2015","GP workload harming care - BMA poll ","bbchealth"
"585947807816650752","Wed Apr 08 23:30:18 +0000 2015","Short people's 'heart risk greater' ","bbchealth"
"585866060991078400","Wed Apr 08 18:05:28 +0000 2015","New approach against HIV 'promising' ","bbchealth"
"585794106170839040","Wed Apr 08 13:19:33 +0000 2015","Coalition 'undermined NHS' - doctors ","bbchealth"
"585733482413891584","Wed Apr 08 09:18:39 +0000 2015","Review of case against NHS manager ","bbchealth"
"585733481608646656","Wed Apr 08 09:18:39 +0000 2015","VIDEO: 'All day is empty, what am I going to do?' ","bbchealth"
"585701601131765760","Wed Apr 08 07:11:58 +0000 2015","VIDEO: 'Overhaul needed' for end-of-life care ","bbchealth"
"585620828110397440","Wed Apr 08 01:51:00 +0000 2015","Care for dying 'needs overhaul' ","bbchealth"
"585437294120677376","Tue Apr 07 13:41:42 +0000 2015","VIDEO: NHS: Labour and Tory key policies ","bbchealth"
"585437293399252992","Tue Apr 07 13:41:42 +0000 2015","Have GP services got worse? ","bbchealth"
"585376127931129856","Tue Apr 07 09:38:39 +0000 2015","A&amp;E waiting hits new worst level ","bbchealth"
"585283574888206336","Tue Apr 07 03:30:52 +0000 2015","Parties row over GP opening hours ","bbchealth"
"585231549819330560","Tue Apr 07 00:04:09 +0000 2015","Why strenuous runs may not be so bad after all ","bbchealth"
"584985578074050560","Mon Apr 06 07:46:44 +0000 2015","VIDEO: Health surcharge for non-EU patients ","bbchealth"
"584985576962592768","Mon Apr 06 07:46:44 +0000 2015","VIDEO: Skin cancer spike 'from 60s holidays' ","bbchealth"
"584901557218480128","Mon Apr 06 02:12:52 +0000 2015","80,000 'might die' in future outbreak ","bbchealth"
"584893680747585536","Mon Apr 06 01:41:34 +0000 2015","Skin cancer 'linked to holiday boom' ","bbchealth"
"584140478720811008","Fri Apr 03 23:48:37 +0000 2015","Public 'back tax rises to fund NHS' ","bbchealth"
"584140477718339584","Fri Apr 03 23:48:37 +0000 2015","VIDEO: Welcome to the designer asylum ","bbchealth"
"583959459589824512","Fri Apr 03 11:49:19 +0000 2015","VIDEO: Why are we having less sex? ","bbchealth"
"583837541373059072","Fri Apr 03 03:44:51 +0000 2015","Five ideas to transform the NHS ","bbchealth"
"583784740064337920","Fri Apr 03 00:15:02 +0000 2015","Personal cancer vaccines 'exciting' ","bbchealth"
"583770728090112000","Thu Apr 02 23:19:22 +0000 2015","Child heart surgery deaths 'halved' ","bbchealth"
"583745704021008384","Thu Apr 02 21:39:55 +0000 2015","VIDEO: Miliband: Cameron 'failed' the NHS ","bbchealth"
"583659491310219264","Thu Apr 02 15:57:21 +0000 2015","Unsafe food 'growing global threat' ","bbchealth"
"583616089340280832","Thu Apr 02 13:04:53 +0000 2015","Health highlights ","bbchealth"
"583550348352212992","Thu Apr 02 08:43:39 +0000 2015","Ambulance progress 'not fast enough' ","bbchealth"
"583406140337164288","Wed Apr 01 23:10:37 +0000 2015","Children’s hospital builds sleep app ","bbchealth"
